posting_id,job_title,split,category,gold,lexicon,error_type,tfidf_cosine,note
P538,Quantitative Analytics Analyst and Associate Graduate 2024 Glasgow,dev,statistics,0,1,lexicon_false_positive,1,checked: statistical/ML models sit in the team description; degree subjects excluded - your zeros match the ruling we agreed
P538,Quantitative Analytics Analyst and Associate Graduate 2024 Glasgow,dev,machine_learning,0,1,lexicon_false_positive,1,checked: statistical/ML models sit in the team description; degree subjects excluded - your zeros match the ruling we agreed
P538,Quantitative Analytics Analyst and Associate Graduate 2024 Glasgow,dev,stakeholder_comm,1,0,lexicon_false_negative,1,checked: statistical/ML models sit in the team description; degree subjects excluded - your zeros match the ruling we agreed
P549,Business Intelligence (BI) Consultant SQL,test,excel,0,1,lexicon_false_positive,1,"""Programming languages: SQL, T-SQL, DAX, MDX, C#, VB.NET, VB, VBA"" -> programming 1; ""Data Warehouse, Data Mart"" -> etl 1; ""data governance and data modeling"" -> modelling 1"
P563,Senior MI Analyst,dev,cloud,0,1,lexicon_false_positive,0,"Looker -> vis 1; SAS -> statistics 1; ""data warehouse remains fit for purpose"" + Snowflake -> etl 1; ""Good understanding of GDPR"" -> ethics 1. No data-model term anywhere -> modelling 1->0"
P628,Data Scientist (Python),test,statistics,0,1,lexicon_false_positive,1,"""data ingestion, curation, modality integration"" -> etl 1. Your statistics=0 RIGHT - Statistics appears only in the degree list"
P643,Digital Business Analyst - Consultant - Digital Factory,test,cloud,1,0,lexicon_false_negative,1,"checked: ""world of cloud, data, AI, connectivity"" is the company blurb - your ML=0 is right"
P649,Business Analyst,dev,reporting,0,1,lexicon_false_positive,1,"no visualisation term -> 1->0. ""represent it using appropriate data models, flows and glossaries"" -> modelling 1. ""Reporting"" appears only in the consultancy service list (company description) -> reporting stays 0"
P659,London Market Business Analyst,dev,reporting,1,0,lexicon_false_negative,1,
P660,Business Analyst - Controlling - SAP S/4 HANA (24 months FTC or Interim),test,reporting,1,0,lexicon_false_negative,1,
P670,Biofuels/Low Carbon Business Analyst,test,cloud,1,0,lexicon_false_negative,0,"no ETL, pipeline, warehouse or integration term in the text -> 1->0"
P684,Graduate Business Analyst,test,stakeholder_comm,1,0,lexicon_false_negative,1,"blank cell filled: no cloud term -> 0. ""client-focused skills and effective communication"" -> stakeholder 1"
P690,Lead Customer Care Specialist - Analytics,dev,sql,0,1,lexicon_false_positive,0,"ROW WAS LEFT BLANK - completed: Power BI desirable -> vis 1; ""Customer Service reports... Ad-Hoc reporting... suite of KPI reports"" -> reporting 1; ""Strong communication skills both oral and written"" -> stakeholder 1; SAP/EDI -> other. Title ""Lead"" -> senior"
P690,Lead Customer Care Specialist - Analytics,dev,excel,0,1,lexicon_false_positive,1,"ROW WAS LEFT BLANK - completed: Power BI desirable -> vis 1; ""Customer Service reports... Ad-Hoc reporting... suite of KPI reports"" -> reporting 1; ""Strong communication skills both oral and written"" -> stakeholder 1; SAP/EDI -> other. Title ""Lead"" -> senior"
P724,Korean Speaking Business Analyst,test,ethics_governance,0,1,lexicon_false_positive,1,"""Update and analyse spreadsheets and databases with statistical data"" -> sql 1 and statistics 1 (lexicon-literal). Your ethics=0 RIGHT - the GDPR mention is the recruiter agency privacy policy"
P726,Senior Business Analyst,dev,cloud,1,0,lexicon_false_negative,1,blank cell filled: no report term -> 0
P728,Commercial Excellence Business Analyst,test,reporting,1,0,lexicon_false_negative,1,
P756,Microsoft Business Intelligence Developer,test,cloud,1,0,lexicon_false_negative,1,"SSIS -> etl 1; ""Loading the data into Power BI Data Models"" -> modelling 1"
P770,Oracle Fusion Solution Architect/Business Analyst,test,cloud,1,0,lexicon_false_negative,0,
P794,"Business Analyst, Systems, Insurance",test,cloud,1,0,lexicon_false_negative,1,
P813,Power BI Developer / Commercial Analyst,test,cloud,0,1,lexicon_false_positive,1,"""complex measures in DAX ... SQL scripting"" -> programming 1. Your cloud=0 RIGHT - the Azure mention is in the Nigel Frank recruiter footer"
P863,Business Intelligence Business Partner (BI),test,etl,0,1,lexicon_false_positive,1,"blank statistics filled: no statistical term -> 0. ""proficiency in MS Excel, SQL and PowerBI"" -> vis 1. Your etl=0 RIGHT - ""Data Warehouse Manager"" is a colleague, not a warehousing duty"
P874,Senior Business Intelligence Developer,dev,data_modelling,0,1,lexicon_false_positive,1,"""as Azure technologies are adopted"" -> cloud 1; ""data governance and data quality requirements"" -> cleaning 1"
P878,Commercial Finance Analyst (15 Month FTC),test,stakeholder_comm,1,0,lexicon_false_negative,0,"""Excellent standard of both written and verbal communication"" -> 1"
P879,Analytics Architect,test,visualisation_bi,1,0,lexicon_false_negative,0,"""Azure Data Factory, T-SQL, Azure Synapse and Data Bricks"" -> cloud 1"
P879,Analytics Architect,test,reporting,1,0,lexicon_false_negative,1,"""Azure Data Factory, T-SQL, Azure Synapse and Data Bricks"" -> cloud 1"
P880,Senior Data Analyst,test,cloud,0,1,lexicon_false_positive,1,"""Use Snowflake as the warehousing tool"" -> etl 1"
P890,Business Intelligence Developer,dev,excel,0,1,lexicon_false_positive,0,"DAX -> programming 1; ""development of our Data Warehouse"" -> etl 1; ""data modelling concepts, such as the Kimball methodology, and Star/Snowflake schema"" -> modelling 1; ""Azure SQL Data Warehouse"" -> cloud 1"
P893,"Senior Financial Analyst, ATS Capex Finance",test,statistics,0,1,lexicon_false_positive,0,checked: statistics appears only in the degree list - your 0 is right
P896,Senior Business Intelligence Architect / Lead Engineer,test,cloud,0,1,lexicon_false_positive,1,"""metrics, reports, analyses, dashboards"" -> vis 1. Your cloud=0 RIGHT - AWS Regions here is the business domain being analysed, not a cloud skill"
P901,Senior Business Analyst,dev,cloud,1,0,lexicon_false_negative,0,"""Produce technical specifications to communicate user requirements"" -> 1"
P902,(Global Petrochemical) External & Market Reporting Analyst,test,machine_learning,0,1,lexicon_false_positive,1,"checked: ""predictive insights"" is not predictive modelling - your 0 is defensible"
P905,Business Analyst: Risk,test,reporting,1,0,lexicon_false_negative,1,"""PowerBI; API integrations; Microsoft stack tools; Python"" -> vis 1"
P908,Oracle Cloud HCM Technical Consultant – Lead Data Analyst,test,cloud,1,0,lexicon_false_negative,1,"""Good Communication skills to work with wider/multiple teams"" -> 1; ""Work with business on data cleansing"" -> cleaning 1"
P910,Lead Reporting Analyst,test,etl,0,1,lexicon_false_positive,1,"""interrogating databases, extracting & manipulating data"" -> sql 1. Your etl=0 RIGHT - ""Data Warehouse team"" is a colleague team"
P923,Digital Business analyst,dev,cloud,1,0,lexicon_false_negative,1,blank cell filled: no report term -> 0
